Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
00962,19864.0,37.1,16135.0,9871.0,10780.0,54.269029399919454,12.494965767217076
00965,7659.0,41.7,15369.0,11228.0,4083.0,53.309831570701135,7.546677111894503
00966,16169.0,45.3,51318.0,36677.0,2938.0,18.170573319314737,3.939637578081514
00968,3368.0,58.1,45811.0,43889.0,498.0,14.78622327790974,3.8004750593824226
00969,43216.0,40.4,51604.0,27897.0,7746.0,17.923917067752683,3.5403554239170676
00971,27449.0,43.6,20604.0,14718.0,10330.0,37.63342926882582,6.258880104921855
00976,60134.0,39.4,30801.0,16208.0,18527.0,30.80952539328832,3.186217447700136
00979,15203.0,48.4,34284.0,29494.0,2727.0,17.937249227126227,3.341445767282773
00982,14514.0,44.3,25935.0,14037.0,5287.0,36.42689816728676,6.3249276560562215
00983,36687.0,41.1,27149.0,13585.0,11804.0,32.17488483659062,6.410990269032627
00985,32750.0,41.5,24834.0,13531.0,10466.0,31.957251908396948,7.4992366412213745
00987,58583.0,38.7,32967.0,16557.0,14378.0,24.542956147687896,6.35679292627554
01001,17537.0,45.8,57694.0,33135.0,1557.0,8.878371443234304,2.4063408792838
01002,30280.0,23.6,52379.0,27657.0,7851.0,25.928005284015853,3.9365918097754293
01003,11131.0,19.9,2499.0,4370.0,57.0,0.5120833707663283,8.139430419549008
01005,5014.0,45.4,70325.0,35334.0,307.0,6.122856003191065,2.991623454327882
01007,14906.0,43.8,86165.0,39308.0,855.0,5.735945256943513,2.6767744532403057
01008,1272.0,49.9,62750.0,33933.0,89.0,6.99685534591195,4.638364779874214
01009,384.0,66.2,59440.0,26043.0,171.0,44.53125,5.729166666666667
01010,3724.0,48.1,86523.0,39077.0,156.0,4.189044038668099,4.403866809881848
01011,1507.0,39.9,75263.0,30903.0,102.0,6.768414067684141,3.3178500331785004
01012,531.0,43.2,70114.0,37778.0,60.0,11.299435028248588,5.649717514124294
01013,23026.0,35.0,39868.0,21738.0,4151.0,18.02744723356206,4.273430035611917
01020,30148.0,44.2,58780.0,30076.0,3173.0,10.524744593339525,3.953827782937508
01022,2604.0,37.6,43349.0,25748.0,615.0,23.617511520737327,4.45468509984639
01026,958.0,49.5,51442.0,30925.0,45.0,4.697286012526096,2.2964509394572024
01027,17870.0,44.9,63699.0,34386.0,1773.0,9.921656407386681,3.889199776161164
01028,16156.0,45.9,85221.0,38320.0,708.0,4.382272839811835,2.531567219608814
01029,728.0,47.3,50750.0,31970.0,102.0,14.010989010989011,5.357142857142857
01030,11211.0,45.1,71716.0,33551.0,1057.0,9.428240121309429,1.9534385871019535
01031,1151.0,38.6,41875.0,27940.0,199.0,17.28931364031277,3.214596003475239
01032,551.0,49.8,78011.0,37424.0,12.0,2.1778584392014517,3.4482758620689653
01033,6300.0,45.8,89965.0,40222.0,324.0,5.142857142857143,2.5555555555555554
01034,2313.0,46.9,87045.0,36015.0,186.0,8.041504539559014,2.7237354085603114
01035,5301.0,47.4,58953.0,41575.0,280.0,5.282022259950953,0.6036596868515375
01036,5193.0,49.4,81304.0,39634.0,206.0,3.966878490275371,3.292894280762565
01037,772.0,46.1,92750.0,31356.0,93.0,12.046632124352332,2.5906735751295336
01038,2897.0,51.4,67096.0,39453.0,112.0,3.8660683465654127,0.7939247497411115
